sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
23,23080,2308076,weekday,40.73,인천광역시,서구
23,23060,2306055,weekday,38.92,인천광역시,부평구
23,23060,2306063,weekday,43.77,인천광역시,부평구
23,23070,2307056,weekday,41.56,인천광역시,계양구
23,23070,2307057,weekday,47.0,인천광역시,계양구
23,23040,2304060,weekday,47.66,인천광역시,연수구
23,23070,2307053,weekday,40.98,인천광역시,계양구
23,23030,2303069,weekday,39.42,인천광역시,남구
23,23010,2301064,weekday,51.74,인천광역시,인천_중구
23,23030,2303077,weekday,45.34,인천광역시,남구
23,23080,2308059,weekday,44.34,인천광역시,서구
23,23040,2304053,weekday,38.88,인천광역시,연수구
23,23020,2302060,weekday,40.43,인천광역시,동구
23,23030,2303073,weekday,42.56,인천광역시,남구
23,23080,2308071,weekday,41.15,인천광역시,서구
23,23070,2307051,weekday,38.75,인천광역시,계양구
23,23060,2306060,weekday,39.29,인천광역시,부평구
23,23060,2306066,weekday,45.4,인천광역시,부평구
23,23080,2308062,weekday,46.11,인천광역시,서구
23,23060,2306058,weekday,39.34,인천광역시,부평구
23,23070,2307064,weekday,54.01,인천광역시,계양구
23,23310,2331041,weekday,50.89,인천광역시,강화군
23,23070,2307063,weekday,53.64,인천광역시,계양구
23,23030,2303062,weekday,48.14,인천광역시,남구
23,23060,2306070,weekday,41.49,인천광역시,부평구
23,23030,2303056,weekday,46.44,인천광역시,남구
23,23030,2303061,weekday,38.58,인천광역시,남구
23,23020,2302061,weekday,44.0,인천광역시,동구
23,23030,2303052,weekday,41.68,인천광역시,남구
23,23020,2302059,weekday,39.84,인천광역시,동구
23,23310,2331031,weekday,53.28,인천광역시,강화군
23,23070,2307052,weekday,51.68,인천광역시,계양구
23,23310,2331032,weekday,54.16,인천광역시,강화군
23,23030,2303076,weekday,49.45,인천광역시,남구
23,23080,2308073,weekday,44.17,인천광역시,서구
23,23030,2303067,weekday,37.98,인천광역시,남구
