sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
23,23040,2304065,weekday,35.0,인천광역시,연수구
23,23030,2303061,weekday,22.92,인천광역시,남구
23,23060,2306052,weekday,32.37,인천광역시,부평구
23,23030,2303052,weekday,21.89,인천광역시,남구
23,23020,2302059,weekday,20.76,인천광역시,동구
23,23070,2307052,weekday,25.98,인천광역시,계양구
23,23310,2331031,weekday,46.0,인천광역시,강화군
23,23310,2331032,weekday,48.99,인천광역시,강화군
23,23030,2303076,weekday,29.1,인천광역시,남구
23,23080,2308073,weekday,31.03,인천광역시,서구
23,23030,2303060,weekday,31.94,인천광역시,남구
23,23030,2303067,weekday,24.02,인천광역시,남구
